07-02 23:37:12 : INFO : collecting all words and their counts
07-02 23:37:12 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
07-02 23:54:06 : INFO : PROGRESS: at sentence #10000, processed 11210887 words, keeping 458766 word types
07-03 00:09:28 : INFO : collecting all words and their counts
07-03 00:09:28 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
07-03 00:20:20 : INFO : PROGRESS: at sentence #10000, processed 5627897 words, keeping 305866 word types
07-03 00:31:47 : INFO : PROGRESS: at sentence #20000, processed 11138468 words, keeping 468434 word types
07-03 00:32:20 : INFO : collected 475336 word types from a corpus of 11408612 raw words and 20494 sentences
07-03 00:32:20 : INFO : Loading a fresh vocabulary
07-03 00:32:20 : INFO : min_count=20 retains 43470 unique words (9% of original 475336, drops 431866)
07-03 00:32:20 : INFO : min_count=20 leaves 10331512 word corpus (90% of original 11408612, drops 1077100)
07-03 00:32:20 : INFO : deleting the raw counts dictionary of 475336 items
07-03 00:32:20 : INFO : sample=0.001 downsamples 16 most-common words
07-03 00:32:20 : INFO : downsampling leaves estimated 10152934 word corpus (98.3% of prior 10331512)
07-03 00:32:20 : INFO : estimated required memory for 43470 words and 300 dimensions: 126063000 bytes
07-03 00:32:20 : INFO : resetting layer weights
07-03 00:32:27 : INFO : training model with 6 workers on 43470 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=2
07-03 00:32:28 : INFO : EPOCH 1 - PROGRESS: at 0.08% examples, 6626 words/s, in_qsize 0, out_qsize 0
07-03 00:32:30 : INFO : EPOCH 1 - PROGRESS: at 0.26% examples, 9627 words/s, in_qsize 0, out_qsize 0
07-03 00:32:31 : INFO : EPOCH 1 - PROGRESS: at 0.43% examples, 10503 words/s, in_qsize 0, out_qsize 0
07-03 00:32:32 : INFO : EPOCH 1 - PROGRESS: at 0.60% examples, 11016 words/s, in_qsize 0, out_qsize 0
07-03 00:32:34 : INFO : EPOCH 1 - PROGRESS: at 0.77% examples, 11317 words/s, in_qsize 0, out_qsize 0
07-03 00:32:35 : INFO : EPOCH 1 - PROGRESS: at 0.92% examples, 11554 words/s, in_qsize 0, out_qsize 0
07-03 00:32:37 : INFO : EPOCH 1 - PROGRESS: at 1.09% examples, 11563 words/s, in_qsize 0, out_qsize 0
07-03 00:32:39 : INFO : EPOCH 1 - PROGRESS: at 1.26% examples, 11015 words/s, in_qsize 0, out_qsize 0
07-03 00:32:41 : INFO : EPOCH 1 - PROGRESS: at 1.43% examples, 10266 words/s, in_qsize 0, out_qsize 0
07-03 00:32:43 : INFO : EPOCH 1 - PROGRESS: at 1.52% examples, 9827 words/s, in_qsize 0, out_qsize 0
07-03 00:32:44 : INFO : EPOCH 1 - PROGRESS: at 1.60% examples, 9487 words/s, in_qsize 0, out_qsize 0
07-03 00:32:45 : INFO : EPOCH 1 - PROGRESS: at 1.69% examples, 9364 words/s, in_qsize 0, out_qsize 0
07-03 00:32:47 : INFO : EPOCH 1 - PROGRESS: at 1.78% examples, 9116 words/s, in_qsize 0, out_qsize 0
07-03 00:32:48 : INFO : EPOCH 1 - PROGRESS: at 1.86% examples, 9059 words/s, in_qsize 0, out_qsize 0
07-03 00:32:49 : INFO : EPOCH 1 - PROGRESS: at 1.95% examples, 8959 words/s, in_qsize 0, out_qsize 0
07-03 00:32:51 : INFO : EPOCH 1 - PROGRESS: at 2.11% examples, 8906 words/s, in_qsize 0, out_qsize 0
07-03 00:32:53 : INFO : EPOCH 1 - PROGRESS: at 2.20% examples, 8742 words/s, in_qsize 0, out_qsize 0
07-03 00:32:54 : INFO : EPOCH 1 - PROGRESS: at 2.28% examples, 8608 words/s, in_qsize 0, out_qsize 0
07-03 00:32:56 : INFO : EPOCH 1 - PROGRESS: at 2.45% examples, 8715 words/s, in_qsize 0, out_qsize 0
07-03 00:32:57 : INFO : EPOCH 1 - PROGRESS: at 2.54% examples, 8686 words/s, in_qsize 0, out_qsize 0
07-03 00:32:59 : INFO : EPOCH 1 - PROGRESS: at 2.71% examples, 8621 words/s, in_qsize 0, out_qsize 0
07-03 00:33:00 : INFO : EPOCH 1 - PROGRESS: at 2.80% examples, 8549 words/s, in_qsize 0, out_qsize 0
07-03 00:33:01 : INFO : EPOCH 1 - PROGRESS: at 2.88% examples, 8523 words/s, in_qsize 0, out_qsize 0
07-03 00:33:03 : INFO : EPOCH 1 - PROGRESS: at 2.97% examples, 8427 words/s, in_qsize 0, out_qsize 0
07-03 00:33:04 : INFO : EPOCH 1 - PROGRESS: at 3.05% examples, 8345 words/s, in_qsize 0, out_qsize 0
07-03 00:33:06 : INFO : EPOCH 1 - PROGRESS: at 3.14% examples, 8097 words/s, in_qsize 0, out_qsize 0
07-03 00:33:08 : INFO : EPOCH 1 - PROGRESS: at 3.22% examples, 8064 words/s, in_qsize 0, out_qsize 0
