07-03 09:00:54 : INFO : collecting all words and their counts
07-03 09:00:54 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
07-03 09:10:06 : INFO : PROGRESS: at sentence #10000, processed 6746848 words, keeping 339961 word types
07-03 09:20:15 : INFO : PROGRESS: at sentence #20000, processed 13358501 words, keeping 522504 word types
07-03 09:20:49 : INFO : collected 530262 word types from a corpus of 13682655 raw words and 20494 sentences
07-03 09:20:49 : INFO : Loading a fresh vocabulary
07-03 09:20:49 : INFO : min_count=20 retains 48606 unique words (9% of original 530262, drops 481656)
07-03 09:20:49 : INFO : min_count=20 leaves 12496659 word corpus (91% of original 13682655, drops 1185996)
07-03 09:20:49 : INFO : deleting the raw counts dictionary of 530262 items
07-03 09:20:50 : INFO : sample=0.001 downsamples 15 most-common words
07-03 09:20:50 : INFO : downsampling leaves estimated 12284946 word corpus (98.3% of prior 12496659)
07-03 09:20:50 : INFO : estimated required memory for 48606 words and 300 dimensions: 140957400 bytes
07-03 09:20:50 : INFO : resetting layer weights
07-03 09:20:57 : INFO : training model with 6 workers on 48606 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=2
07-03 09:20:58 : INFO : EPOCH 1 - PROGRESS: at 0.14% examples, 12797 words/s, in_qsize 0, out_qsize 0
07-03 09:21:00 : INFO : EPOCH 1 - PROGRESS: at 0.28% examples, 10097 words/s, in_qsize 0, out_qsize 0
07-03 09:21:02 : INFO : EPOCH 1 - PROGRESS: at 0.43% examples, 10829 words/s, in_qsize 0, out_qsize 0
07-03 09:21:03 : INFO : EPOCH 1 - PROGRESS: at 0.57% examples, 11381 words/s, in_qsize 0, out_qsize 0
07-03 09:21:04 : INFO : EPOCH 1 - PROGRESS: at 0.71% examples, 11721 words/s, in_qsize 0, out_qsize 0
07-03 09:21:06 : INFO : EPOCH 1 - PROGRESS: at 0.84% examples, 11955 words/s, in_qsize 0, out_qsize 0
07-03 09:21:07 : INFO : EPOCH 1 - PROGRESS: at 0.99% examples, 11941 words/s, in_qsize 0, out_qsize 0
07-03 09:21:08 : INFO : EPOCH 1 - PROGRESS: at 1.12% examples, 12135 words/s, in_qsize 0, out_qsize 0
07-03 09:21:10 : INFO : EPOCH 1 - PROGRESS: at 1.20% examples, 11582 words/s, in_qsize 0, out_qsize 0
07-03 09:21:12 : INFO : EPOCH 1 - PROGRESS: at 1.33% examples, 11341 words/s, in_qsize 0, out_qsize 0
07-03 09:21:14 : INFO : EPOCH 1 - PROGRESS: at 1.47% examples, 10995 words/s, in_qsize 0, out_qsize 0
07-03 09:21:15 : INFO : EPOCH 1 - PROGRESS: at 1.54% examples, 10752 words/s, in_qsize 0, out_qsize 0
07-03 09:21:16 : INFO : EPOCH 1 - PROGRESS: at 1.61% examples, 10545 words/s, in_qsize 0, out_qsize 0
07-03 09:21:17 : INFO : EPOCH 1 - PROGRESS: at 1.68% examples, 10431 words/s, in_qsize 0, out_qsize 0
